year_month,rule,lookback_start,lookback_end,buy_date,sell_date,holdings,return
2005-11,rank_tail,2005-10-18,2005-11-30,2005-12-01,2005-12-30,UVN:lb=-0.2706;buy=1.24@2005-12-01;sell=1.45@2005-12-30;mret=0.1694 | THC:lb=-0.2149;buy=31.28@2005-12-01;sell=30.64@2005-12-30;mret=-0.0205 | GDW:lb=-0.2000;buy=0.22@2005-12-01;sell=0.22@2005-12-30;mret=0.0000 | GR:lb=-0.2000;buy=25.60@2005-12-01;sell=36.80@2005-12-30;mret=0.4375 | EP:lb=-0.1875;buy=6.24@2005-12-01;sell=5.28@2005-12-30;mret=-0.1538 | KMG:lb=-0.1234;buy=5.78@2005-12-01;sell=7.30@2005-12-30;mret=0.2640 | PFE:lb=-0.1139;buy=8.59@2005-12-01;sell=9.45@2005-12-30;mret=0.1000 | IPG:lb=-0.1132;buy=5.73@2005-12-01;sell=5.93@2005-12-30;mret=0.0354 | ABT:lb=-0.1106;buy=11.43@2005-12-01;sell=11.95@2005-12-30;mret=0.0456,0.15593843439959976
2005-12,rank_tail,2005-11-16,2005-12-30,2006-01-03,2006-01-31,BOL:lb=-0.3378;buy=1.23@2006-01-03;sell=1.05@2006-01-31;mret=-0.1429 | BBBY:lb=-0.1592;buy=28.15@2006-01-03;sell=23.95@2006-01-31;mret=-0.1492 | EP:lb=-0.1538;buy=5.28@2006-01-03;sell=10.32@2006-01-31;mret=0.9545 | COP:lb=-0.1008;buy=22.72@2006-01-03;sell=25.26@2006-01-31;mret=0.1121 | CAG:lb=-0.0995;buy=7.91@2006-01-03;sell=8.19@2006-01-31;mret=0.0355 | UVN:lb=-0.0994;buy=1.45@2006-01-03;sell=1.55@2006-01-31;mret=0.0690 | EA:lb=-0.0895;buy=50.86@2006-01-03;sell=53.07@2006-01-31;mret=0.0434 | PAYX:lb=-0.0781;buy=19.73@2006-01-03;sell=18.89@2006-01-31;mret=-0.0423 | DIS:lb=-0.0629;buy=19.22@2006-01-03;sell=20.29@2006-01-31;mret=0.0559 | ADSK:lb=-0.0596;buy=42.95@2006-01-03;sell=40.59@2006-01-31;mret=-0.0549,0.0693129659595817
2006-01,rank_tail,2005-12-15,2006-01-31,2006-02-01,2006-02-28,BBBY:lb=-0.3451;buy=23.95@2006-02-01;sell=22.50@2006-02-28;mret=-0.0605 | INTC:lb=-0.2002;buy=12.45@2006-02-01;sell=12.12@2006-02-28;mret=-0.0265 | BOL:lb=-0.1600;buy=1.05@2006-02-01;sell=1.45@2006-02-28;mret=0.3810 | TSN:lb=-0.1460;buy=10.10@2006-02-01;sell=9.57@2006-02-28;mret=-0.0531 | BSX:lb=-0.1444;buy=21.87@2006-02-01;sell=24.42@2006-02-28;mret=0.1166 | PGR:lb=-0.1322;buy=14.52@2006-02-01;sell=14.85@2006-02-28;mret=0.0229 | THC:lb=-0.1241;buy=29.08@2006-02-01;sell=31.56@2006-02-28;mret=0.0853 | PAYX:lb=-0.1222;buy=18.89@2006-02-01;sell=20.82@2006-02-28;mret=0.1018 | TXN:lb=-0.1211;buy=18.29@2006-02-01;sell=18.67@2006-02-28;mret=0.0212 | GT:lb=-0.1189;buy=13.93@2006-02-01;sell=12.76@2006-02-28;mret=-0.0838,0.05122271999093919
2006-02,rank_tail,2006-01-13,2006-02-28,2006-03-01,2006-03-31,UVN:lb=-0.2767;buy=1.15@2006-03-01;sell=1.30@2006-03-31;mret=0.1304 | GT:lb=-0.2148;buy=12.76@2006-03-01;sell=12.90@2006-03-31;mret=0.0105 | AAPL:lb=-0.1998;buy=2.05@2006-03-01;sell=1.88@2006-03-31;mret=-0.0842 | INTC:lb=-0.1975;buy=12.12@2006-03-01;sell=11.45@2006-03-31;mret=-0.0553 | SANM:lb=-0.1857;buy=23.16@2006-03-01;sell=24.60@2006-03-31;mret=0.0622 | MUR:lb=-0.1841;buy=22.17@2006-03-01;sell=23.57@2006-03-31;mret=0.0629 | TSN:lb=-0.1802;buy=9.57@2006-03-01;sell=9.72@2006-03-31;mret=0.0155 | BBBY:lb=-0.1704;buy=22.50@2006-03-01;sell=29.82@2006-03-31;mret=0.3253 | FCX:lb=-0.1666;buy=16.28@2006-03-01;sell=19.42@2006-03-31;mret=0.1924 | EOG:lb=-0.1595;buy=23.45@2006-03-01;sell=25.05@2006-03-31;mret=0.0682,0.07337505062822536
2006-03,rank_tail,2006-02-16,2006-03-31,2006-04-03,2006-04-28,AMD:lb=-0.2056;buy=33.16@2006-04-03;sell=32.35@2006-04-28;mret=-0.0244 | CMVT:lb=-0.1804;buy=12.81@2006-04-03;sell=12.33@2006-04-28;mret=-0.0374 | MU:lb=-0.1336;buy=14.37@2006-04-03;sell=16.56@2006-04-28;mret=0.1529 | HRB:lb=-0.1291;buy=10.74@2006-04-03;sell=11.32@2006-04-28;mret=0.0545 | AMAT:lb=-0.1227;buy=12.77@2006-04-03;sell=13.09@2006-04-28;mret=0.0251 | CCL:lb=-0.1220;buy=31.93@2006-04-03;sell=31.55@2006-04-28;mret=-0.0116 | AAPL:lb=-0.1112;buy=1.88@2006-04-03;sell=2.11@2006-04-28;mret=0.1223 | TER:lb=-0.1081;buy=14.28@2006-04-03;sell=15.52@2006-04-28;mret=0.0870 | SSP:lb=-0.1016;buy=6.00@2006-04-03;sell=6.19@2006-04-28;mret=0.0306 | MDT:lb=-0.1013;buy=32.78@2006-04-03;sell=32.44@2006-04-28;mret=-0.0106,0.04013970674146616
2006-04,rank_tail,2006-03-16,2006-04-28,2006-05-01,2006-05-31,EP:lb=-0.2895;buy=6.48@2006-05-01;sell=8.88@2006-05-31;mret=0.3704 | AET:lb=-0.2505;buy=34.77@2006-05-01;sell=34.73@2006-05-31;mret=-0.0010 | CIEN:lb=-0.1965;buy=28.63@2006-05-01;sell=30.10@2006-05-31;mret=0.0513 | CI:lb=-0.1909;buy=32.27@2006-05-01;sell=27.97@2006-05-31;mret=-0.1333 | UVN:lb=-0.1440;buy=1.07@2006-05-01;sell=1.02@2006-05-31;mret=-0.0467 | ESRX:lb=-0.1393;buy=19.52@2006-05-01;sell=18.32@2006-05-31;mret=-0.0614 | UNH:lb=-0.1203;buy=38.69@2006-05-01;sell=34.20@2006-05-31;mret=-0.1162 | VIAV:lb=-0.1187;buy=15.88@2006-05-01;sell=13.79@2006-05-31;mret=-0.1318 | DHI:lb=-0.1158;buy=23.02@2006-05-01;sell=20.28@2006-05-31;mret=-0.1189,0.004956527251497755
2006-05,rank_tail,2006-04-18,2006-05-31,2006-06-01,2006-06-30,MCO:lb=-0.2640;buy=41.72@2006-06-01;sell=43.45@2006-06-30;mret=0.0413 | CI:lb=-0.2628;buy=27.97@2006-06-01;sell=29.72@2006-06-30;mret=0.0625 | EA:lb=-0.2489;buy=40.90@2006-06-01;sell=41.85@2006-06-30;mret=0.0231 | KBH:lb=-0.2362;buy=38.37@2006-06-01;sell=34.36@2006-06-30;mret=-0.1045 | ADBE:lb=-0.2335;buy=28.63@2006-06-01;sell=30.36@2006-06-30;mret=0.0604 | DHI:lb=-0.2255;buy=20.28@2006-06-01;sell=18.33@2006-06-30;mret=-0.0964 | BBBY:lb=-0.2168;buy=21.53@2006-06-01;sell=21.26@2006-06-30;mret=-0.0125 | PHM:lb=-0.2148;buy=27.00@2006-06-01;sell=23.97@2006-06-30;mret=-0.1120 | UVN:lb=-0.2093;buy=1.02@2006-06-01;sell=0.97@2006-06-30;mret=-0.0490,-0.011991424587944999
2006-06,rank_tail,2006-05-18,2006-06-30,2006-07-03,2006-07-31,GDW:lb=-0.3784;buy=0.23@2006-07-03;sell=0.17@2006-07-31;mret=-0.2609 | JBL:lb=-0.2558;buy=19.90@2006-07-03;sell=17.95@2006-07-31;mret=-0.0977 | AMD:lb=-0.2211;buy=24.42@2006-07-03;sell=19.39@2006-07-31;mret=-0.2060 | GT:lb=-0.1704;buy=9.89@2006-07-03;sell=9.80@2006-07-31;mret=-0.0090 | BSX:lb=-0.1700;buy=16.84@2006-07-03;sell=17.01@2006-07-31;mret=0.0101 | GR:lb=-0.1613;buy=41.60@2006-07-03;sell=46.40@2006-07-31;mret=0.1154 | KBH:lb=-0.1569;buy=34.36@2006-07-03;sell=31.87@2006-07-31;mret=-0.0726 | DHI:lb=-0.1338;buy=18.33@2006-07-03;sell=16.49@2006-07-31;mret=-0.1003 | QCOM:lb=-0.1332;buy=25.47@2006-07-03;sell=22.41@2006-07-31;mret=-0.1200 | DXC:lb=-0.1325;buy=14.86@2006-07-03;sell=16.03@2006-07-31;mret=0.0789,-0.06280955237496588
2006-07,rank_tail,2006-06-16,2006-07-31,2006-08-01,2006-08-31,TLAB:lb=-0.3436;buy=9.40@2006-08-01;sell=10.47@2006-08-31;mret=0.1138 | AMD:lb=-0.2438;buy=19.39@2006-08-01;sell=24.99@2006-08-31;mret=0.2888 | SANM:lb=-0.2357;buy=20.82@2006-08-01;sell=20.22@2006-08-31;mret=-0.0288 | AMZN:lb=-0.2337;buy=1.34@2006-08-01;sell=1.54@2006-08-31;mret=0.1465 | EBAY:lb=-0.2051;buy=9.02@2006-08-01;sell=10.42@2006-08-31;mret=0.1558 | THC:lb=-0.2011;buy=23.68@2006-08-01;sell=31.52@2006-08-31;mret=0.3311 | UIS:lb=-0.1987;buy=51.20@2006-08-01;sell=53.50@2006-08-31;mret=0.0449 | QCOM:lb=-0.1977;buy=22.41@2006-08-01;sell=24.02@2006-08-31;mret=0.0718 | AET:lb=-0.1973;buy=28.44@2006-08-01;sell=33.66@2006-08-31;mret=0.1836 | RHI:lb=-0.1960;buy=21.16@2006-08-01;sell=20.28@2006-08-31;mret=-0.0415,0.12622150779829666
2006-08,rank_tail,2006-07-20,2006-08-31,2006-09-01,2006-09-29,ROK:lb=-0.1586;buy=37.36@2006-09-01;sell=38.49@2006-09-29;mret=0.0305 | BMY:lb=-0.1517;buy=10.58@2006-09-01;sell=12.13@2006-09-29;mret=0.1457 | COF:lb=-0.1514;buy=53.65@2006-09-01;sell=57.73@2006-09-29;mret=0.0761 | COST:lb=-0.1207;buy=32.02@2006-09-01;sell=34.00@2006-09-29;mret=0.0618 | UPS:lb=-0.1083;buy=37.32@2006-09-01;sell=38.33@2006-09-29;mret=0.0270 | MUR:lb=-0.1022;buy=23.26@2006-09-01;sell=22.61@2006-09-29;mret=-0.0278 | NSC:lb=-0.0988;buy=27.42@2006-09-01;sell=28.27@2006-09-29;mret=0.0309 | AMZN:lb=-0.0980;buy=1.54@2006-09-01;sell=1.61@2006-09-29;mret=0.0418 | HRB:lb=-0.0952;buy=10.47@2006-09-01;sell=10.91@2006-09-29;mret=0.0418,0.04848523852740905
