year_month,rule,lookback_start,lookback_end,buy_date,sell_date,holdings,return
2010-05,rank_tail,2010-04-16,2010-05-28,2010-06-01,2010-06-30,EP:lb=-0.5000;buy=5.28@2010-06-01;sell=8.64@2010-06-30;mret=0.6364 | BAX:lb=-0.2854;buy=16.84@2010-06-01;sell=16.32@2010-06-30;mret=-0.0308 | ODP:lb=-0.2759;buy=50.84@2010-06-01;sell=35.41@2010-06-30;mret=-0.3034 | ANF:lb=-0.2602;buy=26.22@2010-06-01;sell=22.46@2010-06-30;mret=-0.1435 | BKNG:lb=-0.2499;buy=188.08@2010-06-01;sell=173.70@2010-06-30;mret=-0.0765 | NYT:lb=-0.2486;buy=8.25@2010-06-01;sell=7.69@2010-06-30;mret=-0.0679 | MCO:lb=-0.2484;buy=17.12@2010-06-01;sell=16.64@2010-06-30;mret=-0.0283 | CF:lb=-0.2368;buy=9.63@2010-06-01;sell=8.91@2010-06-30;mret=-0.0749 | NVDA:lb=-0.2298;buy=0.30@2010-06-01;sell=0.23@2010-06-30;mret=-0.2230 | V:lb=-0.2268;buy=16.20@2010-06-01;sell=15.82@2010-06-30;mret=-0.0236,-0.02191388356371915
2010-06,rank_tail,2010-05-18,2010-06-30,2010-07-01,2010-07-30,ODP:lb=-0.3648;buy=35.41@2010-07-01;sell=37.87@2010-07-30;mret=0.0693 | HOG:lb=-0.3158;buy=15.93@2010-07-01;sell=19.51@2010-07-30;mret=0.2249 | PHM:lb=-0.2819;buy=7.07@2010-07-01;sell=7.49@2010-07-30;mret=0.0604 | MAS:lb=-0.2533;buy=7.29@2010-07-01;sell=7.02@2010-07-30;mret=-0.0379 | TLAB:lb=-0.2500;buy=6.39@2010-07-01;sell=6.98@2010-07-30;mret=0.0923 | DHI:lb=-0.2450;buy=8.31@2010-07-01;sell=9.32@2010-07-30;mret=0.1211 | LEN:lb=-0.2340;buy=11.67@2010-07-01;sell=12.43@2010-07-30;mret=0.0649 | THC:lb=-0.2138;buy=17.36@2010-07-01;sell=18.40@2010-07-30;mret=0.0599 | TXT:lb=-0.2099;buy=16.47@2010-07-01;sell=20.15@2010-07-30;mret=0.2233 | WY:lb=-0.2081;buy=7.49@2010-07-01;sell=9.37@2010-07-30;mret=0.2508,0.11512666412304928
2010-07,rank_tail,2010-06-17,2010-07-30,2010-08-02,2010-08-31,MU:lb=-0.2661;buy=7.11@2010-08-02;sell=6.31@2010-08-31;mret=-0.1126 | RRC:lb=-0.2506;buy=34.34@2010-08-02;sell=31.28@2010-08-31;mret=-0.0892 | WDC:lb=-0.2505;buy=15.95@2010-08-02;sell=14.60@2010-08-31;mret=-0.0845 | NVDA:lb=-0.2480;buy=0.21@2010-08-02;sell=0.21@2010-08-31;mret=0.0152 | MEE:lb=-0.2299;buy=17.59@2010-08-02;sell=24.18@2010-08-31;mret=0.3744 | CPWR:lb=-0.2000;buy=4.61@2010-08-02;sell=3.46@2010-08-31;mret=-0.2500 | ODP:lb=-0.1985;buy=37.87@2010-08-02;sell=29.89@2010-08-31;mret=-0.2106 | TGNA:lb=-0.1968;buy=4.65@2010-08-02;sell=4.26@2010-08-31;mret=-0.0827 | WHR:lb=-0.1822;buy=49.38@2010-08-02;sell=44.22@2010-08-31;mret=-0.1046 | TMO:lb=-0.1606;buy=42.48@2010-08-02;sell=39.89@2010-08-31;mret=-0.0611,-0.01804517993777821
2010-08,rank_tail,2010-07-20,2010-08-31,2010-09-01,2010-09-30,JBL:lb=-0.3146;buy=8.73@2010-09-01;sell=12.27@2010-09-30;mret=0.4059 | ATGE:lb=-0.2891;buy=35.58@2010-09-01;sell=45.94@2010-09-30;mret=0.2913 | AMD:lb=-0.2618;buy=5.61@2010-09-01;sell=7.11@2010-09-30;mret=0.2674 | BBBY:lb=-0.2591;buy=14.01@2010-09-01;sell=15.72@2010-09-30;mret=0.1221 | GNW:lb=-0.2503;buy=10.84@2010-09-01;sell=12.22@2010-09-30;mret=0.1273 | WDC:lb=-0.2414;buy=14.60@2010-09-01;sell=17.16@2010-09-30;mret=0.1751 | MU:lb=-0.2355;buy=6.31@2010-09-01;sell=7.04@2010-09-30;mret=0.1161 | NYT:lb=-0.2313;buy=6.38@2010-09-01;sell=6.88@2010-09-30;mret=0.0780 | ODP:lb=-0.1900;buy=29.89@2010-09-01;sell=40.32@2010-09-30;mret=0.3490,0.21496330667343244
2010-09,rank_tail,2010-08-18,2010-09-30,2010-10-01,2010-10-29,EP:lb=-0.2083;buy=9.12@2010-10-01;sell=5.28@2010-10-29;mret=-0.4211 | ISRG:lb=-0.0965;buy=31.53@2010-10-01;sell=29.22@2010-10-29;mret=-0.0733 | MTB:lb=-0.0842;buy=53.11@2010-10-01;sell=48.52@2010-10-29;mret=-0.0863 | MDT:lb=-0.0780;buy=23.21@2010-10-01;sell=24.52@2010-10-29;mret=0.0562 | PNC:lb=-0.0773;buy=33.44@2010-10-01;sell=34.79@2010-10-29;mret=0.0403 | NYT:lb=-0.0708;buy=6.88@2010-10-01;sell=6.81@2010-10-29;mret=-0.0090 | ADBE:lb=-0.0694;buy=26.15@2010-10-01;sell=28.15@2010-10-29;mret=0.0765 | MS:lb=-0.0602;buy=17.55@2010-10-01;sell=17.72@2010-10-29;mret=0.0098,-0.05334191044151715
2010-10,rank_tail,2010-09-17,2010-10-29,2010-11-01,2010-11-30,EP:lb=-0.4500;buy=5.28@2010-11-01;sell=2.88@2010-11-30;mret=-0.4545 | BAC:lb=-0.1455;buy=8.90@2010-11-01;sell=8.51@2010-11-30;mret=-0.0437 | TIE:lb=-0.1416;buy=20000.00@2010-11-01;sell=18800.00@2010-11-30;mret=-0.0600 | ADBE:lb=-0.1412;buy=28.15@2010-11-01;sell=27.80@2010-11-30;mret=-0.0124 | MTB:lb=-0.1378;buy=48.52@2010-11-01;sell=50.42@2010-11-30;mret=0.0391 | VIAV:lb=-0.1329;buy=5.97@2010-11-01;sell=6.75@2010-11-30;mret=0.1305 | ISRG:lb=-0.1110;buy=29.22@2010-11-01;sell=28.92@2010-11-30;mret=-0.0101 | TGNA:lb=-0.1023;buy=4.19@2010-11-01;sell=4.64@2010-11-30;mret=0.1063 | URBN:lb=-0.0973;buy=30.79@2010-11-01;sell=37.79@2010-11-30;mret=0.2273,0.010588215392963063
2010-11,rank_tail,2010-10-18,2010-11-30,2010-12-01,2010-12-31,EP:lb=-0.5385;buy=2.88@2010-12-01;sell=1.44@2010-12-31;mret=-0.5000 | RF:lb=-0.2680;buy=3.52@2010-12-01;sell=4.58@2010-12-31;mret=0.3032 | SVU:lb=-0.2636;buy=58.74@2010-12-01;sell=62.58@2010-12-31;mret=0.0653 | PHM:lb=-0.2375;buy=5.34@2010-12-01;sell=6.42@2010-12-31;mret=0.2013 | GT:lb=-0.2106;buy=8.51@2010-12-01;sell=10.55@2010-12-31;mret=0.2395 | TLAB:lb=-0.1972;buy=6.31@2010-12-01;sell=6.78@2010-12-31;mret=0.0745 | CSCO:lb=-0.1777;buy=12.46@2010-12-01;sell=13.16@2010-12-31;mret=0.0558 | FSLR:lb=-0.1647;buy=122.85@2010-12-01;sell=130.14@2010-12-31;mret=0.0593 | AIZ:lb=-0.1499;buy=26.28@2010-12-01;sell=28.70@2010-12-31;mret=0.0921 | WHR:lb=-0.1438;buy=43.78@2010-12-01;sell=53.27@2010-12-31;mret=0.2168,0.11469099496122981
2010-12,rank_tail,2010-11-17,2010-12-31,2011-01-03,2011-01-31,EP:lb=-0.4000;buy=1.44@2011-01-03;sell=2.69@2011-01-31;mret=0.8667 | BBY:lb=-0.1966;buy=20.60@2011-01-03;sell=20.42@2011-01-31;mret=-0.0085 | EBAY:lb=-0.0766;buy=10.42@2011-01-03;sell=11.37@2011-01-31;mret=0.0909 | V:lb=-0.0706;buy=15.79@2011-01-03;sell=15.67@2011-01-31;mret=-0.0075 | HUM:lb=-0.0570;buy=48.04@2011-01-03;sell=50.87@2011-01-31;mret=0.0590 | DRI:lb=-0.0526;buy=25.75@2011-01-03;sell=26.30@2011-01-31;mret=0.0215 | MA:lb=-0.0446;buy=20.66@2011-01-03;sell=21.82@2011-01-31;mret=0.0560 | URBN:lb=-0.0394;buy=35.81@2011-01-03;sell=33.82@2011-01-31;mret=-0.0556 | GILD:lb=-0.0387;buy=12.59@2011-01-03;sell=13.33@2011-01-31;mret=0.0591 | EXPE:lb=-0.0372;buy=33.18@2011-01-03;sell=33.27@2011-01-31;mret=0.0028,0.15064832665344907
2011-01,rank_tail,2010-12-16,2011-01-31,2011-02-01,2011-02-28,EP:lb=-0.2329;buy=2.69@2011-02-01;sell=3.84@2011-02-28;mret=0.4286 | TLAB:lb=-0.2054;buy=5.30@2011-02-01;sell=5.39@2011-02-28;mret=0.0170 | CPWR:lb=-0.2000;buy=4.61@2011-02-01;sell=2.42@2011-02-28;mret=-0.4750 | FFIV:lb=-0.1916;buy=108.38@2011-02-01;sell=118.01@2011-02-28;mret=0.0889 | SVU:lb=-0.1649;buy=47.37@2011-02-01;sell=56.67@2011-02-28;mret=0.1964 | STZ:lb=-0.1397;buy=16.45@2011-02-01;sell=17.40@2011-02-28;mret=0.0572 | BBBY:lb=-0.1376;buy=14.92@2011-02-01;sell=15.25@2011-02-28;mret=0.0221 | EXPD:lb=-0.1104;buy=41.68@2011-02-01;sell=39.32@2011-02-28;mret=-0.0566 | VMC:lb=-0.1008;buy=37.91@2011-02-01;sell=41.08@2011-02-28;mret=0.0834,0.042162196699216725
2011-02,rank_tail,2011-01-13,2011-02-28,2011-03-01,2011-03-31,CPWR:lb=-0.4750;buy=2.42@2011-03-01;sell=2.42@2011-03-31;mret=0.0000 | EXPE:lb=-0.2677;buy=26.26@2011-03-01;sell=30.06@2011-03-31;mret=0.1447 | MEE:lb=-0.2606;buy=19.17@2011-03-01;sell=23.55@2011-03-31;mret=0.2281 | AKAM:lb=-0.2551;buy=37.53@2011-03-01;sell=38.00@2011-03-31;mret=0.0125 | TLAB:lb=-0.2503;buy=5.39@2011-03-01;sell=5.24@2011-03-31;mret=-0.0278 | AIG:lb=-0.2188;buy=28.08@2011-03-01;sell=26.63@2011-03-31;mret=-0.0518 | F:lb=-0.1943;buy=7.74@2011-03-01;sell=7.67@2011-03-31;mret=-0.0093 | FFIV:lb=-0.1802;buy=118.01@2011-03-01;sell=102.57@2011-03-31;mret=-0.1308 | PHM:lb=-0.1737;buy=5.89@2011-03-01;sell=6.31@2011-03-31;mret=0.0725 | TIE:lb=-0.1559;buy=15700.00@2011-03-01;sell=13100.00@2011-03-31;mret=-0.1656,0.018940605573961156
2011-03,rank_tail,2011-02-16,2011-03-31,2011-04-01,2011-04-29,VIAV:lb=-0.2124;buy=11.85@2011-04-01;sell=11.85@2011-04-29;mret=0.0000 | NVDA:lb=-0.2104;buy=0.42@2011-04-01;sell=0.46@2011-04-29;mret=0.0834 | URBN:lb=-0.2083;buy=29.83@2011-04-01;sell=31.47@2011-04-29;mret=0.0550 | FFIV:lb=-0.1839;buy=102.57@2011-04-01;sell=101.36@2011-04-29;mret=-0.0118 | CCL:lb=-0.1830;buy=29.06@2011-04-01;sell=28.84@2011-04-29;mret=-0.0076 | NTAP:lb=-0.1775;buy=35.70@2011-04-01;sell=38.64@2011-04-29;mret=0.0822 | HPQ:lb=-0.1621;buy=11.98@2011-04-01;sell=11.80@2011-04-29;mret=-0.0146 | AIG:lb=-0.1487;buy=26.63@2011-04-01;sell=23.60@2011-04-29;mret=-0.1135 | MAR:lb=-0.1386;buy=28.62@2011-04-01;sell=28.40@2011-04-29;mret=-0.0079,0.008686500098303407
2011-04,rank_tail,2011-03-17,2011-04-29,2011-05-02,2011-05-31,AIG:lb=-0.1275;buy=23.60@2011-05-02;sell=21.60@2011-05-31;mret=-0.0851 | EP:lb=-0.1250;buy=3.36@2011-05-02;sell=2.21@2011-05-31;mret=-0.3429 | BAC:lb=-0.1216;buy=9.56@2011-05-02;sell=9.15@2011-05-31;mret=-0.0432 | FSLR:lb=-0.0937;buy=139.57@2011-05-02;sell=124.25@2011-05-31;mret=-0.1098 | HOG:lb=-0.0736;buy=26.94@2011-05-02;sell=26.96@2011-05-31;mret=0.0007 | WFC:lb=-0.0697;buy=19.41@2011-05-02;sell=19.00@2011-05-31;mret=-0.0214 | AKAM:lb=-0.0559;buy=34.43@2011-05-02;sell=33.94@2011-05-31;mret=-0.0142 | WY:lb=-0.0539;buy=13.42@2011-05-02;sell=12.64@2011-05-31;mret=-0.0576 | TER:lb=-0.0524;buy=14.82@2011-05-02;sell=14.74@2011-05-31;mret=-0.0056,-0.0768527555244517
2011-05,rank_tail,2011-04-15,2011-05-31,2011-06-01,2011-06-30,EP:lb=-0.4250;buy=2.21@2011-06-01;sell=2.40@2011-06-30;mret=0.0870 | TIE:lb=-0.3095;buy=8700.00@2011-06-01;sell=9300.00@2011-06-30;mret=0.0690 | DXC:lb=-0.2030;buy=12.39@2011-06-01;sell=11.85@2011-06-30;mret=-0.0434 | AIG:lb=-0.1482;buy=21.60@2011-06-01;sell=22.22@2011-06-30;mret=0.0288 | TXT:lb=-0.1287;buy=22.26@2011-06-01;sell=23.00@2011-06-30;mret=0.0329 | NBR:lb=-0.1101;buy=1191.51@2011-06-01;sell=1052.67@2011-06-30;mret=-0.1165 | TLAB:lb=-0.1092;buy=4.57@2011-06-01;sell=4.61@2011-06-30;mret=0.0088 | AKAM:lb=-0.1090;buy=33.94@2011-06-01;sell=31.47@2011-06-30;mret=-0.0728 | KMX:lb=-0.1066;buy=29.66@2011-06-01;sell=33.07@2011-06-30;mret=0.1150,0.024548756260443172
2011-06,rank_tail,2011-05-18,2011-06-30,2011-07-01,2011-07-29,CPWR:lb=-0.7619;buy=0.58@2011-07-01;sell=0.58@2011-07-29;mret=0.0000 | MU:lb=-0.2565;buy=7.30@2011-07-01;sell=7.19@2011-07-29;mret=-0.0147 | OI:lb=-0.2017;buy=25.30@2011-07-01;sell=22.71@2011-07-29;mret=-0.1023 | AMD:lb=-0.1938;buy=6.99@2011-07-01;sell=7.34@2011-07-29;mret=0.0501 | VIAV:lb=-0.1841;buy=9.48@2011-07-01;sell=7.48@2011-07-29;mret=-0.2107 | DXC:lb=-0.1427;buy=11.85@2011-07-01;sell=11.02@2011-07-29;mret=-0.0706 | NWL:lb=-0.1347;buy=9.55@2011-07-01;sell=9.40@2011-07-29;mret=-0.0165 | URBN:lb=-0.1320;buy=28.15@2011-07-01;sell=32.54@2011-07-29;mret=0.1560 | RF:lb=-0.1290;buy=4.07@2011-07-01;sell=4.00@2011-07-29;mret=-0.0177 | ADSK:lb=-0.1283;buy=38.60@2011-07-01;sell=34.40@2011-07-29;mret=-0.1088,-0.03418373690018661
2011-07,rank_tail,2011-06-16,2011-07-29,2011-08-01,2011-08-31,EP:lb=-0.3000;buy=1.68@2011-08-01;sell=2.40@2011-08-31;mret=0.4286 | AKAM:lb=-0.1781;buy=24.22@2011-08-01;sell=21.94@2011-08-31;mret=-0.0941 | GNW:lb=-0.1613;buy=8.32@2011-08-01;sell=6.93@2011-08-31;mret=-0.1671 | TIE:lb=-0.1584;buy=8500.00@2011-08-01;sell=7700.00@2011-08-31;mret=-0.0941 | VIAV:lb=-0.1554;buy=7.48@2011-08-01;sell=7.38@2011-08-31;mret=-0.0137 | NVDA:lb=-0.1458;buy=0.32@2011-08-01;sell=0.31@2011-08-31;mret=-0.0376 | EW:lb=-0.1427;buy=11.89@2011-08-01;sell=12.57@2011-08-31;mret=0.0575 | IPG:lb=-0.1410;buy=6.09@2011-08-01;sell=5.36@2011-08-31;mret=-0.1203 | WM:lb=-0.1358;buy=22.22@2011-08-01;sell=23.31@2011-08-31;mret=0.0492,0.007183914271709169
2011-08,rank_tail,2011-07-20,2011-08-31,2011-09-01,2011-09-30,CBRE:lb=-0.3482;buy=15.16@2011-09-01;sell=13.46@2011-09-30;mret=-0.1121 | TMUS:lb=-0.3466;buy=17.87@2011-09-01;sell=13.94@2011-09-30;mret=-0.2195 | ATGE:lb=-0.3361;buy=41.45@2011-09-01;sell=34.67@2011-09-30;mret=-0.1634 | PHM:lb=-0.3324;buy=4.10@2011-09-01;sell=3.37@2011-09-30;mret=-0.1771 | BBBY:lb=-0.3245;buy=10.47@2011-09-01;sell=9.27@2011-09-30;mret=-0.1146 | NBR:lb=-0.3125;buy=787.79@2011-09-01;sell=523.77@2011-09-30;mret=-0.3351 | TXT:lb=-0.3095;buy=16.43@2011-09-01;sell=17.20@2011-09-30;mret=0.0470 | IPG:lb=-0.3018;buy=5.36@2011-09-01;sell=4.51@2011-09-30;mret=-0.1591 | HST:lb=-0.3017;buy=7.11@2011-09-01;sell=6.60@2011-09-30;mret=-0.0720 | NFX:lb=-0.2870;buy=51.05@2011-09-01;sell=39.69@2011-09-30;mret=-0.2225,-0.15488593065868772
2011-09,rank_tail,2011-08-18,2011-09-30,2011-10-03,2011-10-31,CPWR:lb=-0.7500;buy=0.58@2011-10-03;sell=0.35@2011-10-31;mret=-0.4000 | NFLX:lb=-0.4792;buy=1.62@2011-10-03;sell=1.17@2011-10-31;mret=-0.2754 | FSLR:lb=-0.3330;buy=63.21@2011-10-03;sell=49.77@2011-10-31;mret=-0.2126 | NBR:lb=-0.2913;buy=523.77@2011-10-03;sell=783.09@2011-10-31;mret=0.4951 | FCX:lb=-0.2894;buy=22.87@2011-10-03;sell=30.45@2011-10-31;mret=0.3316 | CLF:lb=-0.2695;buy=43.36@2011-10-03;sell=57.81@2011-10-31;mret=0.3332 | MPC:lb=-0.2609;buy=8.98@2011-10-03;sell=11.91@2011-10-31;mret=0.3267 | HAL:lb=-0.2513;buy=23.82@2011-10-03;sell=29.16@2011-10-31;mret=0.2241 | CF:lb=-0.2485;buy=17.43@2011-10-03;sell=22.92@2011-10-31;mret=0.3151 | MOS:lb=-0.2358;buy=37.32@2011-10-03;sell=44.62@2011-10-31;mret=0.1958,0.11510763634622134
2011-10,rank_tail,2011-09-19,2011-10-31,2011-11-01,2011-11-30,NFLX:lb=-0.4290;buy=1.17@2011-11-01;sell=0.92@2011-11-30;mret=-0.2138 | FSLR:lb=-0.4069;buy=49.77@2011-11-01;sell=47.86@2011-11-30;mret=-0.0384 | CPWR:lb=-0.4000;buy=0.35@2011-11-01;sell=0.23@2011-11-30;mret=-0.3333 | MU:lb=-0.1875;buy=5.46@2011-11-01;sell=5.85@2011-11-30;mret=0.0716 | BBBY:lb=-0.1758;buy=8.30@2011-11-01;sell=8.26@2011-11-30;mret=-0.0048 | NFX:lb=-0.1701;buy=40.26@2011-11-01;sell=45.80@2011-11-30;mret=0.1376 | WYNN:lb=-0.1581;buy=92.88@2011-11-01;sell=87.93@2011-11-30;mret=-0.0533 | AMD:lb=-0.1575;buy=5.83@2011-11-01;sell=5.69@2011-11-30;mret=-0.0240 | TMUS:lb=-0.1500;buy=13.61@2011-11-01;sell=13.42@2011-11-30;mret=-0.0141 | MOS:lb=-0.1452;buy=44.62@2011-11-01;sell=40.24@2011-11-30;mret=-0.0983,-0.04650884058685323
2011-11,rank_tail,2011-10-18,2011-11-30,2011-12-01,2011-12-30,NFLX:lb=-0.4225;buy=0.92@2011-12-01;sell=0.99@2011-12-30;mret=0.0738 | CPWR:lb=-0.3333;buy=0.23@2011-12-01;sell=0.35@2011-12-30;mret=0.5000 | ANF:lb=-0.3166;buy=35.80@2011-12-01;sell=36.50@2011-12-30;mret=0.0194 | GR:lb=-0.2500;buy=2.10@2011-12-01;sell=1.50@2011-12-30;mret=-0.2857 | EP:lb=-0.2500;buy=1.44@2011-12-01;sell=1.15@2011-12-30;mret=-0.2000 | AMZN:lb=-0.2115;buy=9.61@2011-12-01;sell=8.65@2011-12-30;mret=-0.0998 | BBBY:lb=-0.2027;buy=8.26@2011-12-01;sell=7.84@2011-12-30;mret=-0.0508 | ATGE:lb=-0.1910;buy=32.38@2011-12-01;sell=36.23@2011-12-30;mret=0.1192 | DXC:lb=-0.1886;buy=7.68@2011-12-01;sell=7.51@2011-12-30;mret=-0.0225 | BAC:lb=-0.1791;buy=4.25@2011-12-01;sell=4.35@2011-12-30;mret=0.0221,0.043740735842091816
2011-12,rank_tail,2011-11-16,2011-12-30,2012-01-03,2012-01-31,GR:lb=-0.4231;buy=1.50@2012-01-03;sell=1.90@2012-01-31;mret=0.2667 | EP:lb=-0.4000;buy=1.15@2012-01-03;sell=1.01@2012-01-31;mret=-0.1250 | EXPE:lb=-0.2915;buy=26.39@2012-01-03;sell=29.43@2012-01-31;mret=0.1154 | FSLR:lb=-0.2338;buy=33.76@2012-01-03;sell=42.28@2012-01-31;mret=0.2524 | CRM:lb=-0.2300;buy=25.06@2012-01-03;sell=28.85@2012-01-31;mret=0.1512 | ORCL:lb=-0.1982;buy=21.03@2012-01-03;sell=23.18@2012-01-31;mret=0.1023 | AMZN:lb=-0.1835;buy=8.65@2012-01-03;sell=9.72@2012-01-31;mret=0.1233 | BBY:lb=-0.1613;buy=14.37@2012-01-03;sell=14.72@2012-01-31;mret=0.0248 | GLW:lb=-0.1588;buy=9.03@2012-01-03;sell=8.96@2012-01-31;mret=-0.0085 | ADSK:lb=-0.1476;buy=30.33@2012-01-03;sell=36.00@2012-01-31;mret=0.1869,0.12318060079586157
2012-01,rank_tail,2011-12-15,2012-01-31,2012-02-01,2012-02-29,EXPE:lb=-0.2020;buy=29.43@2012-02-01;sell=30.96@2012-02-29;mret=0.0519 | BBBY:lb=-0.1452;buy=6.77@2012-02-01;sell=6.36@2012-02-29;mret=-0.0606 | EA:lb=-0.1119;buy=18.07@2012-02-01;sell=15.89@2012-02-29;mret=-0.1206 | TSN:lb=-0.0921;buy=14.04@2012-02-01;sell=14.27@2012-02-29;mret=0.0166 | CCL:lb=-0.0868;buy=23.39@2012-02-01;sell=23.65@2012-02-29;mret=0.0112 | EXC:lb=-0.0802;buy=16.66@2012-02-01;sell=16.58@2012-02-29;mret=-0.0047 | NRG:lb=-0.0730;buy=12.64@2012-02-01;sell=12.81@2012-02-29;mret=0.0130 | GOOGL:lb=-0.0636;buy=14.41@2012-02-01;sell=15.36@2012-02-29;mret=0.0657 | KSS:lb=-0.0620;buy=24.41@2012-02-01;sell=26.37@2012-02-29;mret=0.0802 | EQT:lb=-0.0569;buy=24.77@2012-02-01;sell=26.11@2012-02-29;mret=0.0542,0.010599318487717113
2012-02,rank_tail,2012-01-17,2012-02-29,2012-03-01,2012-03-30,FSLR:lb=-0.1925;buy=32.30@2012-03-01;sell=25.05@2012-03-30;mret=-0.2245 | ATGE:lb=-0.1467;buy=33.47@2012-03-01;sell=31.91@2012-03-30;mret=-0.0467 | ATI:lb=-0.1098;buy=39.37@2012-03-01;sell=37.11@2012-03-30;mret=-0.0574 | CLF:lb=-0.0963;buy=54.20@2012-03-01;sell=59.14@2012-03-30;mret=0.0911 | NSC:lb=-0.0912;buy=50.39@2012-03-01;sell=48.15@2012-03-30;mret=-0.0446 | HUM:lb=-0.0880;buy=77.13@2012-03-01;sell=82.12@2012-03-30;mret=0.0648 | AEP:lb=-0.0814;buy=22.68@2012-03-01;sell=23.27@2012-03-30;mret=0.0258 | CSX:lb=-0.0794;buy=5.53@2012-03-01;sell=5.67@2012-03-30;mret=0.0243 | EA:lb=-0.0789;buy=15.89@2012-03-01;sell=16.03@2012-03-30;mret=0.0092 | GLW:lb=-0.0734;buy=9.12@2012-03-01;sell=9.85@2012-03-30;mret=0.0798,-0.009009753123150555
2012-03,rank_tail,2012-02-16,2012-03-30,2012-04-02,2012-04-30,FSLR:lb=-0.3692;buy=25.05@2012-04-02;sell=18.40@2012-04-30;mret=-0.2655 | BBBY:lb=-0.2085;buy=5.24@2012-04-02;sell=6.03@2012-04-30;mret=0.1508 | HPQ:lb=-0.1988;buy=7.09@2012-04-02;sell=7.37@2012-04-30;mret=0.0390 | NFX:lb=-0.1619;buy=34.68@2012-04-02;sell=35.90@2012-04-30;mret=0.0352 | SVU:lb=-0.1503;buy=39.25@2012-04-02;sell=40.83@2012-04-30;mret=0.0403 | GT:lb=-0.1494;buy=9.99@2012-04-02;sell=9.78@2012-04-30;mret=-0.0214 | NEM:lb=-0.1462;buy=37.38@2012-04-02;sell=34.74@2012-04-30;mret=-0.0706 | LUV:lb=-0.1403;buy=7.14@2012-04-02;sell=7.17@2012-04-30;mret=0.0049 | NBR:lb=-0.1359;buy=747.21@2012-04-02;sell=711.32@2012-04-30;mret=-0.0480 | FCX:lb=-0.1323;buy=28.95@2012-04-02;sell=29.40@2012-04-30;mret=0.0155,-0.011965558177988056
2012-04,rank_tail,2012-03-16,2012-04-30,2012-05-01,2012-05-31,FSLR:lb=-0.3673;buy=18.40@2012-05-01;sell=12.56@2012-05-31;mret=-0.3174 | GNW:lb=-0.3432;buy=6.01@2012-05-01;sell=5.24@2012-05-31;mret=-0.1281 | EP:lb=-0.3429;buy=1.10@2012-05-01;sell=1.44@2012-05-31;mret=0.3043 | TMUS:lb=-0.2772;buy=11.69@2012-05-01;sell=10.25@2012-05-31;mret=-0.1233 | NFLX:lb=-0.2712;buy=1.14@2012-05-01;sell=0.91@2012-05-31;mret=-0.2084 | MU:lb=-0.2528;buy=6.43@2012-05-01;sell=5.70@2012-05-31;mret=-0.1138 | ANDV:lb=-0.2153;buy=20.49@2012-05-01;sell=19.50@2012-05-31;mret=-0.0486 | NBR:lb=-0.2003;buy=711.32@2012-05-01;sell=578.88@2012-05-31;mret=-0.1862 | BAC:lb=-0.1724;buy=6.35@2012-05-01;sell=5.76@2012-05-31;mret=-0.0925,-0.06921976825977427
2012-05,rank_tail,2012-04-18,2012-05-31,2012-06-01,2012-06-29,FOSL:lb=-0.4485;buy=73.16@2012-06-01;sell=76.54@2012-06-29;mret=0.0462 | FSLR:lb=-0.4120;buy=12.56@2012-06-01;sell=15.06@2012-06-29;mret=0.1990 | NFLX:lb=-0.4069;buy=0.91@2012-06-01;sell=0.98@2012-06-29;mret=0.0796 | CLF:lb=-0.3119;buy=41.19@2012-06-01;sell=42.49@2012-06-29;mret=0.0316 | ANF:lb=-0.2976;buy=25.28@2012-06-01;sell=25.73@2012-06-29;mret=0.0179 | NTAP:lb=-0.2580;buy=22.07@2012-06-01;sell=23.59@2012-06-29;mret=0.0692 | WDC:lb=-0.2447;buy=18.97@2012-06-01;sell=18.42@2012-06-29;mret=-0.0290 | C:lb=-0.2441;buy=19.70@2012-06-01;sell=20.37@2012-06-29;mret=0.0339 | MS:lb=-0.2413;buy=9.66@2012-06-01;sell=10.55@2012-06-29;mret=0.0921 | AMD:lb=-0.2371;buy=6.08@2012-06-01;sell=5.73@2012-06-29;mret=-0.0576,0.05143282526074766
2012-06,rank_tail,2012-05-17,2012-06-29,2012-07-02,2012-07-31,WDC:lb=-0.1778;buy=18.42@2012-07-02;sell=24.04@2012-07-31;mret=0.3048 | NKE:lb=-0.1559;buy=18.48@2012-07-02;sell=19.65@2012-07-31;mret=0.0635 | FFIV:lb=-0.1452;buy=99.56@2012-07-02;sell=93.38@2012-07-31;mret=-0.0621 | R:lb=-0.1447;buy=24.65@2012-07-02;sell=27.00@2012-07-31;mret=0.0953 | EA:lb=-0.1327;buy=12.01@2012-07-02;sell=10.71@2012-07-31;mret=-0.1077 | ORLY:lb=-0.1119;buy=5.58@2012-07-02;sell=5.72@2012-07-31;mret=0.0235 | BWA:lb=-0.1100;buy=24.17@2012-07-02;sell=24.72@2012-07-31;mret=0.0230 | TIE:lb=-0.1016;buy=11500.00@2012-07-02;sell=10600.00@2012-07-31;mret=-0.0783 | TPR:lb=-0.1000;buy=39.43@2012-07-02;sell=33.26@2012-07-31;mret=-0.1565 | ROK:lb=-0.0838;buy=50.32@2012-07-02;sell=51.31@2012-07-31;mret=0.0197,0.012302094914961925
