year_month,rule,lookback_start,lookback_end,buy_date,sell_date,holdings,return,benchmark_return,spy_return,active_return,active_return_vs_spy
2015-01,rank_tail,2015-01-02,2015-01-30,2015-02-02,2015-02-27,,0.0,0.05947925167927326,0.05620470813377465,-0.05947925167927326,-0.05620470813377465
2015-12,rank_tail,2015-11-17,2015-12-31,2016-01-04,2016-01-29,KMI:lb=-0.3613;buy=9.01@2016-01-04;sell=10.02@2016-01-29;mret=0.1123 | WMB:lb=-0.2993;buy=14.68@2016-01-04;sell=11.02@2016-01-29;mret=-0.2490 | DVN:lb=-0.2982;buy=22.25@2016-01-04;sell=19.40@2016-01-29;mret=-0.1281 | HAR:lb=-0.2903;buy=4210.53@2016-01-04;sell=4593.30@2016-01-29;mret=0.0909 | MUR:lb=-0.2542;buy=15.55@2016-01-04;sell=13.58@2016-01-29;mret=-0.1265 | RRC:lb=-0.2531;buy=23.14@2016-01-04;sell=27.79@2016-01-29;mret=0.2011 | GME:lb=-0.2376;buy=5.41@2016-01-04;sell=5.06@2016-01-29;mret=-0.0653 | NFX:lb=-0.1937;buy=32.56@2016-01-04;sell=29.07@2016-01-29;mret=-0.1072 | FCX:lb=-0.1931;buy=6.14@2016-01-04;sell=4.17@2016-01-29;mret=-0.3205 | CMG:lb=-0.1777;buy=9.60@2016-01-04;sell=9.06@2016-01-29;mret=-0.0560,-0.05513814894647051,-0.05427606978213573,-0.049786586903192376,-0.0008620791643347836,-0.005351562043278135
2016-01,rank_tail,2015-12-15,2016-01-29,2016-02-01,2016-02-29,FCX:lb=-0.2945;buy=4.17@2016-02-01;sell=6.92@2016-02-29;mret=0.6587 | AN:lb=-0.2914;buy=43.25@2016-02-01;sell=51.47@2016-02-29;mret=0.1901 | URI:lb=-0.2911;buy=46.40@2016-02-01;sell=49.95@2016-02-29;mret=0.0764 | BWA:lb=-0.2800;buy=22.16@2016-02-01;sell=24.77@2016-02-29;mret=0.1175 | CF:lb=-0.2649;buy=22.57@2016-02-01;sell=27.72@2016-02-29;mret=0.2283 | WMB:lb=-0.2531;buy=11.02@2016-02-01;sell=9.13@2016-02-29;mret=-0.1715 | OI:lb=-0.2516;buy=12.68@2016-02-01;sell=14.66@2016-02-29;mret=0.1561 | KMX:lb=-0.2470;buy=44.18@2016-02-01;sell=46.26@2016-02-29;mret=0.0471 | REGN:lb=-0.2451;buy=417.77@2016-02-01;sell=381.90@2016-02-29;mret=-0.0859 | AXP:lb=-0.2340;buy=46.54@2016-02-01;sell=48.35@2016-02-29;mret=0.0389,0.12462000419457597,0.01724426619592312,-0.0008262051838284767,0.10737573799865285,0.12544620937840445
2016-02,rank_tail,2016-01-14,2016-02-29,2016-03-01,2016-03-31,DVN:lb=-0.2419;buy=13.68@2016-03-01;sell=19.28@2016-03-31;mret=0.4094 | MPC:lb=-0.2073;buy=25.25@2016-03-01;sell=27.41@2016-03-31;mret=0.0855 | REGN:lb=-0.1984;buy=381.90@2016-03-01;sell=358.45@2016-03-31;mret=-0.0614 | RIG:lb=-0.1793;buy=8.65@2016-03-01;sell=9.14@2016-03-31;mret=0.0566 | COP:lb=-0.1735;buy=25.08@2016-03-01;sell=29.86@2016-03-31;mret=0.1904 | BAC:lb=-0.1648;buy=10.06@2016-03-01;sell=10.90@2016-03-31;mret=0.0840 | VRTX:lb=-0.1611;buy=85.49@2016-03-01;sell=79.49@2016-03-31;mret=-0.0702 | ANDV:lb=-0.1585;buy=76.06@2016-03-01;sell=81.08@2016-03-31;mret=0.0661 | CFG:lb=-0.1562;buy=13.35@2016-03-01;sell=14.54@2016-03-31;mret=0.0894 | RCL:lb=-0.1496;buy=66.54@2016-03-01;sell=73.50@2016-03-31;mret=0.1046,0.09729396381314781,0.08192063369869285,0.06726583363322347,0.015373330114454964,0.03002813017992434
2016-03,rank_tail,2016-02-17,2016-03-31,2016-04-01,2016-04-29,HRB:lb=-0.2327;buy=18.16@2016-04-01;sell=13.91@2016-04-29;mret=-0.2339 | HAR:lb=-0.1818;buy=4306.22@2016-04-01;sell=4401.91@2016-04-29;mret=0.0222 | PRGO:lb=-0.1177;buy=103.19@2016-04-01;sell=77.98@2016-04-29;mret=-0.2444 | VRTX:lb=-0.0993;buy=79.49@2016-04-01;sell=84.34@2016-04-29;mret=0.0610 | REGN:lb=-0.0927;buy=358.45@2016-04-01;sell=374.63@2016-04-29;mret=0.0451 | MU:lb=-0.0840;buy=10.22@2016-04-01;sell=10.49@2016-04-29;mret=0.0267 | CMG:lb=-0.0837;buy=9.42@2016-04-01;sell=8.42@2016-04-29;mret=-0.1062 | AN:lb=-0.0600;buy=46.68@2016-04-01;sell=50.65@2016-04-29;mret=0.0850 | DE:lb=-0.0474;buy=65.68@2016-04-01;sell=71.75@2016-04-29;mret=0.0925 | ICE:lb=-0.0422;buy=41.56@2016-04-01;sell=42.42@2016-04-29;mret=0.0208,-0.02339942650940785,0.009844419316557218,0.003941492377683931,-0.03324384582596507,-0.02734091888709178
2016-04,rank_tail,2016-03-17,2016-04-29,2016-05-02,2016-05-31,STX:lb=-0.3768;buy=13.94@2016-05-02;sell=14.92@2016-05-31;mret=0.0700 | PRGO:lb=-0.2632;buy=77.98@2016-05-02;sell=77.42@2016-05-31;mret=-0.0071 | HRB:lb=-0.2506;buy=13.91@2016-05-02;sell=14.68@2016-05-31;mret=0.0553 | FSLR:lb=-0.2373;buy=55.84@2016-05-02;sell=49.65@2016-05-31;mret=-0.1109 | UAL:lb=-0.2214;buy=45.81@2016-05-02;sell=45.09@2016-05-31;mret=-0.0157 | HAR:lb=-0.1930;buy=4401.91@2016-05-02;sell=4784.69@2016-05-31;mret=0.0870 | AAL:lb=-0.1760;buy=33.24@2016-05-02;sell=30.67@2016-05-31;mret=-0.0775 | DAL:lb=-0.1429;buy=36.96@2016-05-02;sell=38.67@2016-05-31;mret=0.0463 | HRL:lb=-0.1217;buy=30.44@2016-05-02;sell=27.17@2016-05-31;mret=-0.1074 | AAPL:lb=-0.1140;buy=21.25@2016-05-02;sell=22.78@2016-05-31;mret=0.0718,0.0021614356899515297,0.017453367088865468,0.017011587248124016,-0.015291931398913938,-0.014850151558172486
2016-05,rank_tail,2016-04-18,2016-05-31,2016-06-01,2016-06-30,PRGO:lb=-0.2556;buy=77.42@2016-06-01;sell=73.25@2016-06-30;mret=-0.0539 | AAL:lb=-0.2179;buy=30.67@2016-06-01;sell=27.21@2016-06-30;mret=-0.1128 | UAL:lb=-0.2087;buy=45.09@2016-06-01;sell=41.04@2016-06-30;mret=-0.0898 | ALK:lb=-0.1892;buy=61.89@2016-06-01;sell=54.33@2016-06-30;mret=-0.1221 | CPRI:lb=-0.1884;buy=42.72@2016-06-01;sell=49.48@2016-06-30;mret=0.1582 | ILMN:lb=-0.1869;buy=140.89@2016-06-01;sell=136.56@2016-06-30;mret=-0.0307 | M:lb=-0.1844;buy=21.60@2016-06-01;sell=22.11@2016-06-30;mret=0.0237 | KSS:lb=-0.1826;buy=21.66@2016-06-01;sell=23.09@2016-06-30;mret=0.0662 | FSLR:lb=-0.1774;buy=49.65@2016-06-01;sell=48.48@2016-06-30;mret=-0.0236 | UA:lb=-0.1756;buy=34.72@2016-06-01;sell=36.40@2016-06-30;mret=0.0483,-0.013354341683924686,0.001799581069475753,0.0034759002711444165,-0.01515392275340044,-0.016830241955069103
2016-06,rank_tail,2016-05-18,2016-06-30,2016-07-01,2016-07-29,SIG:lb=-0.2281;buy=67.79@2016-07-01;sell=72.52@2016-07-29;mret=0.0698 | DAL:lb=-0.1694;buy=32.42@2016-07-01;sell=34.48@2016-07-29;mret=0.0637 | SYF:lb=-0.1604;buy=20.17@2016-07-01;sell=22.25@2016-07-29;mret=0.1028 | CF:lb=-0.1568;buy=18.51@2016-07-01;sell=18.95@2016-07-29;mret=0.0241 | AMG:lb=-0.1480;buy=136.28@2016-07-01;sell=142.10@2016-07-29;mret=0.0427 | LNC:lb=-0.1398;buy=27.05@2016-07-01;sell=30.67@2016-07-29;mret=0.1339 | RCL:lb=-0.1371;buy=60.37@2016-07-01;sell=65.13@2016-07-29;mret=0.0788 | CFG:lb=-0.1362;buy=13.94@2016-07-01;sell=15.58@2016-07-29;mret=0.1176 | SCHW:lb=-0.1359;buy=22.44@2016-07-01;sell=25.19@2016-07-29;mret=0.1229 | AAL:lb=-0.1319;buy=27.21@2016-07-01;sell=34.12@2016-07-29;mret=0.2540,0.1015183294984614,0.043356066446866626,0.03647115984623661,0.058162263051594776,0.06504716965222479
2016-07,rank_tail,2016-06-16,2016-07-29,2016-08-01,2016-08-31,CF:lb=-0.1055;buy=18.95@2016-08-01;sell=20.25@2016-08-31;mret=0.0683 | HIG:lb=-0.0906;buy=32.46@2016-08-01;sell=33.63@2016-08-31;mret=0.0360 | EMN:lb=-0.0902;buy=47.77@2016-08-01;sell=49.72@2016-08-31;mret=0.0408 | DE:lb=-0.0802;buy=66.79@2016-08-01;sell=72.67@2016-08-31;mret=0.0880 | DRI:lb=-0.0801;buy=47.33@2016-08-01;sell=47.39@2016-08-31;mret=0.0013 | HUM:lb=-0.0760;buy=159.73@2016-08-01;sell=165.43@2016-08-31;mret=0.0357 | PRGO:lb=-0.0726;buy=73.83@2016-08-01;sell=73.62@2016-08-31;mret=-0.0028 | LUV:lb=-0.0696;buy=33.04@2016-08-01;sell=33.02@2016-08-31;mret=-0.0008 | HAR:lb=-0.0667;buy=5358.85@2016-08-01;sell=4019.14@2016-08-31;mret=-0.2500 | AKAM:lb=-0.0592;buy=50.53@2016-08-01;sell=54.90@2016-08-31;mret=0.0865,0.01016794058028947,0.0004926367276119059,0.0011978650492912024,0.009675303852677564,0.008970075530998267
2016-08,rank_tail,2016-07-20,2016-08-31,2016-09-01,2016-09-30,BMY:lb=-0.2421;buy=41.71@2016-09-01;sell=39.19@2016-09-30;mret=-0.0605 | HAR:lb=-0.2222;buy=4019.14@2016-09-01;sell=3732.06@2016-09-30;mret=-0.0714 | FSLR:lb=-0.2191;buy=37.82@2016-09-01;sell=39.49@2016-09-30;mret=0.0442 | DG:lb=-0.2175;buy=64.98@2016-09-01;sell=62.18@2016-09-30;mret=-0.0432 | RIG:lb=-0.2016;buy=9.70@2016-09-01;sell=10.66@2016-09-30;mret=0.0990 | TGNA:lb=-0.1737;buy=10.40@2016-09-01;sell=11.30@2016-09-30;mret=0.0865 | NRG:lb=-0.1727;buy=9.94@2016-09-01;sell=9.20@2016-09-30;mret=-0.0743 | DVA:lb=-0.1674;buy=64.63@2016-09-01;sell=66.07@2016-09-30;mret=0.0223 | FCX:lb=-0.1634;buy=9.33@2016-09-01;sell=9.85@2016-09-30;mret=0.0554 | DLTR:lb=-0.1336;buy=82.70@2016-09-01;sell=78.93@2016-09-30;mret=-0.0456,0.003534129075693615,0.0013175187461038629,5.7624802370703776e-05,0.002216610329589752,0.0034765042733229112
2016-09,rank_tail,2016-08-18,2016-09-30,2016-10-03,2016-10-31,DG:lb=-0.2340;buy=62.18@2016-10-03;sell=61.38@2016-10-31;mret=-0.0129 | TSCO:lb=-0.2101;buy=11.66@2016-10-03;sell=10.85@2016-10-31;mret=-0.0701 | SIG:lb=-0.1981;buy=61.48@2016-10-03;sell=67.25@2016-10-31;mret=0.0938 | DLTR:lb=-0.1766;buy=78.93@2016-10-03;sell=75.55@2016-10-31;mret=-0.0428 | CTSH:lb=-0.1621;buy=42.30@2016-10-03;sell=45.52@2016-10-31;mret=0.0763 | HSY:lb=-0.1499;buy=76.72@2016-10-03;sell=82.22@2016-10-31;mret=0.0718 | MCK:lb=-0.1411;buy=155.01@2016-10-03;sell=118.21@2016-10-31;mret=-0.2374 | HST:lb=-0.1287;buy=10.88@2016-10-03;sell=10.81@2016-10-31;mret=-0.0058 | ULTA:lb=-0.1238;buy=237.98@2016-10-03;sell=243.34@2016-10-31;mret=0.0225 | SJM:lb=-0.1220;buy=101.74@2016-10-03;sell=98.56@2016-10-31;mret=-0.0312,-0.013244851002420344,-0.023152563690490346,-0.017337017064564475,0.009907712688070003,0.004092166062144131
