Date,return
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-03-02,-0.00792888133209999
2015-03-03,0.008758618837091881
2015-03-04,-0.005824592985393563
2015-03-05,0.002365293539815139
2015-03-06,-0.02099123323547474
2015-03-09,0.015258054611742521
2015-03-10,-0.022180441831412646
2015-03-11,-0.004158717439063987
2015-03-12,0.017089167245182682
2015-03-13,-0.0037717202441439057
2015-03-16,-0.0010485277976098337
2015-03-17,0.01188120787674969
2015-03-18,0.011925642837966863
2015-03-19,-0.0057178466394467884
2015-03-20,0.022824560053995267
2015-03-23,0.00872368840411426
2015-03-24,0.003855378413630296
2015-03-25,-0.01906684528160861
2015-03-26,-0.0044261798327197895
2015-03-27,-0.009644155604306825
2015-03-30,0.008023632254309543
2015-03-31,-0.011357323024465581
2015-04-01,-0.000294509350950023
2015-04-02,0.013933603043750105
2015-04-06,0.021628038841749544
2015-04-07,-0.003064359587788868
2015-04-08,-0.001334515181101281
2015-04-09,0.017286107036382448
2015-04-10,0.002310769537610536
2015-04-13,-0.0032552889883165743
2015-04-14,-1.7010525656424125e-05
2015-04-15,0.03409513834759535
2015-04-16,-0.005793857429068383
2015-04-17,-0.0003299752276164406
2015-04-20,0.005712193931913934
2015-04-21,-0.011308627465235354
2015-04-22,0.012676923414949793
2015-04-23,0.007632540177457004
2015-04-24,-0.003824856766734275
2015-04-27,-0.009074732820937592
2015-04-28,0.0052977590977853276
2015-04-29,0.003246762692130325
2015-04-30,0.00846142092679182
2015-05-01,0.012024543770807505
2015-05-04,-0.00208603866627547
2015-05-05,-0.01888448818791152
2015-05-06,-0.004732707999141861
2015-05-07,0.010334487180489927
2015-05-08,0.021440461430521127
2015-05-11,0.0015644493114080225
2015-05-12,-0.002209348013929013
2015-05-13,-0.0026034818054628036
2015-05-14,0.0033219924803190365
2015-05-15,0.0008702886829583866
2015-05-18,0.0031485668102384737
2015-05-19,0.0034467122407283225
2015-05-20,0.0010318061796245387
2015-05-21,0.008112953414910863
2015-05-22,-0.005461473093972636
2015-05-26,-0.003626416945496015
2015-05-27,0.009351304355697287
2015-05-28,-0.002159879672131359
2015-05-29,-0.00787669087484274
2015-06-01,-0.0019332643478722432
2015-06-02,0.007728113724381326
2015-06-03,0.0043982288679152775
2015-06-04,-0.0005027527586029196
2015-06-05,0.003405783061257739
2015-06-08,-0.016257283474600037
2015-06-09,-0.0030815700229822824
2015-06-10,0.004742166075412535
2015-06-11,-0.00046419252752001345
2015-06-12,-0.0008248443389006544
2015-06-15,0.004094949040112695
2015-06-16,0.0007320858668458778
2015-06-17,0.004107818154862731
2015-06-18,0.007831391502720986
2015-06-19,-0.0031884583387181585
2015-06-22,0.008491821269582556
2015-06-23,0.0042090643333486215
2015-06-24,-0.004617626587594314
2015-06-25,-0.009048345523136127
2015-06-26,-0.0002320775939595118
2015-06-29,-0.024719420510294184
2015-06-30,0.005313555569669426
2015-07-01,-0.015583670475499134
2015-07-02,0.005459592623028942
2015-07-06,-0.01891520870518712
2015-07-07,0.009271311833288231
2015-07-08,-0.030988837746396974
2015-07-09,0.0010145618594724628
2015-07-10,0.002887692946591702
2015-07-13,0.016851538081097517
2015-07-14,0.017007833769443995
2015-07-15,-0.027073759639169272
2015-07-16,0.005548971886974742
2015-07-17,-0.021831758770189523
2015-07-20,-0.024166524161582374
2015-07-21,-0.0035103291499879777
2015-07-22,-0.009626615499813598
2015-07-23,0.023850244590689528
2015-07-24,-0.021575748283487805
2015-07-27,-0.004653109848662507
2015-07-28,0.03794180855710157
2015-07-29,0.0014867485946505983
2015-07-30,0.0021316947476089036
2015-07-31,-0.02224480319207839
2015-08-03,-0.028823379467114597
2015-08-04,-0.012809057659695536
2015-08-05,-0.009043986662607851
2015-08-06,0.020128580418138056
2015-08-07,-0.03139633151883854
2015-08-10,0.053080133108710764
2015-08-11,-0.02347917808349837
2015-08-12,0.028716937656734377
2015-08-13,-0.03367650057743513
2015-08-14,-0.008462934451728544
2015-08-17,0.00826778164606633
2015-08-18,-0.015313672240168674
2015-08-19,-0.017476010604242843
2015-08-20,-0.020363870442108026
2015-08-21,-0.020609782397433267
2015-08-24,-0.04782246212889968
2015-08-25,-0.006006887990144528
2015-08-26,0.012578866970523617
2015-08-27,0.10116890536784712
2015-08-28,0.02489168025580494
2015-08-31,0.022411307715339255
2015-09-01,-0.037288974771901615
2015-09-02,0.01718912274428944
2015-09-03,0.008271829459666213
2015-09-04,-0.018318474420244316
2015-09-08,0.02867287857948098
2015-09-09,-0.00968823209096308
2015-09-10,0.00386652279350136
2015-09-11,-0.0021143996782125645
2015-09-14,-0.002352521234947191
2015-09-15,0.013204646510812214
2015-09-16,0.015949332099769165
2015-09-17,-0.005707734980317381
2015-09-18,-0.025139148188816133
2015-09-21,-0.010546124232892697
2015-09-22,-0.01850548978347397
2015-09-23,-0.014731806489197592
2015-09-24,-0.003010725791458569
2015-09-25,-0.000733973590242865
2015-09-28,-0.05092653320960682
2015-09-29,0.0034906880938899714
2015-09-30,0.013537920523995307
2015-10-01,-0.000793222421177908
2015-10-02,0.059214516800552175
2015-10-05,0.030282502467423325
2015-10-06,0.008509529164953511
2015-10-07,0.024355896365912913
